#{"solver": {"engine": {"type": "ExactEngine"}, "semiring": "GraphSemiring"}, "networks": [{"name": "perc_net_version_0_NeSy_1", "module": "AD_V0_NeSy_1_net(\n  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))\n  (pool): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))\n  (fc1): Linear(in_features=400, out_features=120, bias=True)\n  (fc2): Linear(in_features=120, out_features=84, bias=True)\n  (fc3): Linear(in_features=84, out_features=4, bias=True)\n  (softmax): Softmax(dim=-1)\n)", "optimizer": "Adam (\nParameter Group 0\n    amsgrad: False\n    betas: (0.9, 0.999)\n    capturable: False\n    differentiable: False\n    eps: 1e-08\n    foreach: None\n    fused: None\n    lr: 0.001\n    maximize: False\n    weight_decay: 0\n)", "k": null}], "program": "nn(perc_net_version_0_NeSy_1,[Img],X,[0, 1, 2, 3])::cell(Img,X).\nattention_boundary(X) :- X==1.\nenlarged_boundary(X) :- X==2.\nout_of_view(X) :- X==0; X==3.\naction(Img,1) :- cell(Img,X1), attention_boundary(X1).\naction(Img,2) :- cell(Img,X2), enlarged_boundary(X2), \\+action(Img,1).\naction(Img,0) :- cell(Img,X3), out_of_view(X3), \\+action(Img,2), \\+action(Img,1).\n"}
#Accuracy 0.9874776386404294
i,time,loss,ground_time,compile_time,eval_time,accuracy
5,0.05051898956298828,0.8968150436878204,0.0015465974807739257,0.0004053592681884766,0.00052642822265625,0.33273703041144903
10,0.8759870529174805,1.2347699105739594,0.0017490386962890625,0.00048658847808837893,0.0005659341812133789,0.33273703041144903
15,1.7054641246795654,1.2003229141235352,0.0017490386962890625,0.00048658847808837893,0.0006048202514648438,0.33273703041144903
20,2.5778090953826904,1.0975355446338653,0.001916980743408203,0.0004594087600708008,0.0005876779556274414,0.33273703041144903
25,3.409424066543579,1.0332475662231446,0.001959562301635742,0.0005095720291137696,0.000575566291809082,0.33273703041144903
30,4.227894067764282,1.095070731639862,0.0018330097198486328,0.00047299861907958987,0.0006558895111083984,0.33273703041144903
35,5.044818878173828,1.1026718616485596,0.0017697334289550782,0.0004547119140625,0.0005455732345581055,0.33273703041144903
40,5.869516134262085,0.8800273537635803,0.002064228057861328,0.00046410560607910154,0.0005674600601196289,0.33273703041144903
45,6.693426847457886,1.1706676542758943,0.001875591278076172,0.0005231618881225586,0.0005104780197143554,0.33273703041144903
50,7.500670909881592,1.1580842912197113,0.0016644716262817383,0.0004432201385498047,0.0005528450012207032,0.33273703041144903
55,8.332476139068604,1.081822508573532,0.0017697334289550782,0.0004547119140625,0.0007510185241699219,0.33273703041144903
60,9.191957950592041,1.0903880059719087,0.0016644716262817383,0.0004432201385498047,0.0005303621292114258,0.5760286225402504
