#{"solver": {"engine": {"type": "ExactEngine"}, "semiring": "GraphSemiring"}, "networks": [{"name": "perc_net_AD_V1", "module": "AD_V1_net(\n  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))\n  (pool): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))\n  (fc1): Linear(in_features=400, out_features=120, bias=True)\n  (fc2): Linear(in_features=120, out_features=84, bias=True)\n  (fc3): Linear(in_features=84, out_features=3, bias=True)\n  (softmax): Softmax(dim=-1)\n)", "optimizer": "Adam (\nParameter Group 0\n    amsgrad: False\n    betas: (0.9, 0.999)\n    capturable: False\n    differentiable: False\n    eps: 1e-08\n    foreach: None\n    fused: False\n    lr: 0.001\n    maximize: False\n    weight_decay: 0\n)", "k": null}], "program": "coord(X) :- X=0.\ncoord(X) :- X=1.\ncoord(X) :- X=2.\nadmissible_cells(X,Y) :- coord(X), coord(Y).\nnn(perc_net_AD_V1,[Img, X, Y],Z,[human, nothing])::cell(Img,X,Y,Z).\nattention_boundary(X,Y) :- X==0.\nattention_boundary(X,Y) :- X==1.\nenlarged_boundary(X,Y) :- X==2.\naction(Img,1) :- admissible_cells(X,Y), attention_boundary(X,Y), cell(Img,X,Y,human).\naction(Img,2) :- admissible_cells(X,Y), enlarged_boundary(X,Y), cell(Img,X,Y,human), \\+action(Img,1).\naction(Img,0) :- \\+action(Img,2), \\+action(Img,1).\n"}
#Accuracy 0.43370053039575684
i,time,loss,ground_time,compile_time,eval_time,accuracy
50,0.7136440277099609,1.6085922623425721,0.014651811122894287,0.0009875535964965821,0.002945559024810791,0.34067727458180336
100,13.837154865264893,1.2666175168752671,0.0148441481590271,0.000999610424041748,0.0020318174362182616,0.31374949000408
150,26.788206100463867,1.2631288707256316,0.014790127277374268,0.0009956693649291993,0.002008495330810547,0.3423092615259078
200,45.46474480628967,1.2367895713448525,0.014572625160217284,0.0009805130958557128,0.0026054620742797852,0.35128518971848227
250,66.49002075195312,1.311385628581047,0.014896750450134277,0.0010041594505310059,0.0029528307914733886,0.31456548347613217
300,81.92323398590088,1.1762278300523759,0.014845566749572754,0.000999002456665039,0.0024074745178222657,0.34149326805385555
350,102.43440103530884,1.2044208508729934,0.014591104984283447,0.000981624126434326,0.003764190673828125,0.3880048959608323
400,119.29567289352417,1.2133491303026676,0.014699146747589112,0.0009895062446594238,0.0019186663627624512,0.3561811505507956
450,137.38563179969788,1.2747255182266235,0.01507871150970459,0.0010164856910705566,0.0022002196311950682,0.39575683394532846
500,154.32345390319824,1.2123582109808921,0.01428262233734131,0.0009603047370910644,0.002025141716003418,0.4018767849857201
550,167.05521774291992,1.123408423960209,0.014339480400085449,0.0009630298614501953,0.0018262505531311036,0.3949408404732762
600,179.83007287979126,1.2322325205802918,0.014517185688018798,0.000977180004119873,0.0018955540657043456,0.40269277845777235
650,192.63521790504456,1.1688541178405285,0.014247081279754638,0.0009574747085571289,0.0018530011177062989,0.36556507547939615
700,205.4231617450714,1.3178799039870501,0.014770228862762452,0.0009951663017272949,0.0019320845603942871,0.3778049775601795
750,218.38614869117737,1.2590743774175643,0.01468066692352295,0.0009883952140808106,0.0019287276268005371,0.3553651570787434
800,231.39489674568176,1.2286449860036373,0.01487968921661377,0.0010024404525756836,0.0019335198402404786,0.379436964504284
850,244.25175285339355,1.1023170042783021,0.01446742057800293,0.0009714150428771972,0.0018140840530395507,0.3969808241534068
900,257.2393047809601,1.2105878888443113,0.014916648864746094,0.00100466251373291,0.0018912100791931153,0.423500611995104
950,270.0411458015442,1.1807120563834905,0.014918067455291749,0.0010040545463562013,0.001898365020751953,0.39249286005711953
1000,282.78838181495667,1.163379297554493,0.014102079868316651,0.0009473705291748047,0.0018193960189819337,0.4194206446348429
1050,295.7181177139282,1.2167206594347955,0.014734687805175782,0.0009923362731933593,0.0019249677658081054,0.41166870665034677
1100,308.4978187084198,1.094295492619276,0.014501543045043945,0.0009748530387878418,0.0018648195266723633,0.41411668706650345
1150,321.6383159160614,1.2006139328330756,0.01460958480834961,0.0009827351570129395,0.0021247243881225585,0.41330069359445126
1200,334.51881170272827,1.1651674149930478,0.01431816339492798,0.000963134765625,0.0018497729301452637,0.39861281109751123
1250,347.3039929866791,1.1146945525705814,0.014756004810333252,0.0009922313690185547,0.0018673348426818848,0.4194206446348429
1300,362.4224970340729,1.176470173113048,0.01437218427658081,0.0009670758247375488,0.0018651008605957032,0.43125254997960016
1350,376.13202571868896,1.1856176005117596,0.0148441481590271,0.000999610424041748,0.0019005560874938965,0.4222766217870257
1400,388.97201204299927,1.0819922495353966,0.01477306604385376,0.000993950366973877,0.0018460178375244141,0.42962056303549573
1450,401.7489879131317,1.202938776142546,0.01551513433456421,0.0010461902618408203,0.0019547104835510253,0.4157486740106079
1500,414.6213879585266,1.2923335733637213,0.014460327625274659,0.0009744548797607422,0.0018975543975830078,0.3884128926968584
1550,427.5743408203125,1.2302373899519443,0.014935128688812256,0.0010057735443115235,0.0023971867561340334,0.41166870665034677
1600,440.9396929740906,1.2426399260759353,0.015004792213439942,0.0010120415687561036,0.0019292473793029786,0.43410852713178294
1650,453.86536693573,1.1506257162988185,0.014864046573638916,0.0010001134872436523,0.001924433708190918,0.41697266421868623
1700,466.60696601867676,1.2242529287654906,0.01491523027420044,0.001005270481109619,0.0019456219673156738,0.4128926968584251
1750,479.4104218482971,1.0925317335687579,0.0142655611038208,0.0009585857391357422,0.0018720316886901855,0.40922072623419015
1800,492.1210069656372,1.156617733584717,0.014537084102630615,0.0009776830673217773,0.0018582487106323243,0.4190126478988168
1850,504.8339147567749,1.1202716680895537,0.015189590454101563,0.0010231518745422363,0.001907663345336914,0.4186046511627907
1900,517.7290868759155,1.2065227204235272,0.014699146747589112,0.0009895062446594238,0.0018842911720275879,0.4288045695634435
1950,530.4596736431122,1.2023037955677136,0.014825668334960938,0.0009984993934631348,0.001906416416168213,0.4320685434516524
2000,543.1700417995453,1.0963785191602073,0.01457404375076294,0.000979905128479004,0.0019119858741760253,0.4349245206038352
2050,556.0107457637787,1.1257476433273406,0.01473752498626709,0.0009911203384399415,0.0018773603439331055,0.41370869033047736
2100,568.7378308773041,1.1631111843138933,0.014734687805175782,0.0009923362731933593,0.0019304966926574707,0.43166054671562626
2150,581.6191580295563,1.1120951202884317,0.01473752498626709,0.0009911203384399415,0.002071359157562256,0.4300285597715218
2200,594.5520968437195,1.077101016882807,0.0142655611038208,0.0009585857391357422,0.0018460512161254882,0.4194206446348429
2250,607.2605469226837,0.9921832576673478,0.014322419166564942,0.0009613108634948731,0.0018055319786071777,0.4279885760913913
2300,620.2547090053558,1.2144753881916404,0.01471620798110962,0.000991225242614746,0.001900193691253662,0.43410852713178294
2350,633.1184628009796,1.1814705048128962,0.014861209392547607,0.0010013294219970703,0.0019525384902954101,0.4369645042839657
2400,645.9388768672943,1.0925181284779684,0.014665024280548096,0.0009860682487487793,0.001898021697998047,0.43084455324357407
2450,658.6182267665863,1.135218642205,0.014011099338531494,0.0009412074089050293,0.0018699455261230468,0.3908608731130151
2500,671.4194498062134,1.1708030030503869,0.014518604278564454,0.000976572036743164,0.0018576812744140626,0.4112607099143207
2550,684.2949266433716,1.1114564866572618,0.014665024280548096,0.0009860682487487793,0.001841592788696289,0.4173806609547124
2600,697.1042249202728,1.170189313199371,0.014173161983489991,0.0009530305862426758,0.0018328595161437988,0.4112607099143207
2650,709.8384687900543,1.1138008856400847,0.01390305757522583,0.0009333252906799317,0.001783742904663086,0.40922072623419015
2700,722.5482139587402,1.170057858391665,0.01491523027420044,0.001005270481109619,0.0019123077392578125,0.43329253365973075
2750,735.3868029117584,1.1468693266878836,0.014807188510894775,0.0009973883628845216,0.0019547033309936525,0.4173806609547124
