#{"solver": {"engine": {"type": "ExactEngine"}, "semiring": "GraphSemiring"}, "networks": [{"name": "perc_net_version_5_baseline_0", "module": "AD_V5_baseline_net_0(\n  (conv1): Conv2d(1, 6, kernel_size=(5, 5), stride=(1, 1))\n  (pool): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))\n  (fc1): Linear(in_features=256, out_features=120, bias=True)\n  (fc2): Linear(in_features=120, out_features=84, bias=True)\n  (fc3): Linear(in_features=84, out_features=8, bias=True)\n  (image_features): Sequential(\n    (0): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))\n    (1): ReLU()\n    (2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n    (3): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))\n    (4): ReLU()\n    (5): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n    (6): Flatten(start_dim=0, end_dim=2)\n    (7): Linear(in_features=2704, out_features=800, bias=True)\n    (8): ReLU()\n    (9): Linear(in_features=800, out_features=120, bias=True)\n    (10): ReLU()\n    (11): Linear(in_features=120, out_features=16, bias=True)\n    (12): ReLU()\n  )\n  (numeric_features): Sequential(\n    (0): Linear(in_features=3, out_features=9, bias=True)\n    (1): ReLU()\n    (2): Linear(in_features=9, out_features=9, bias=True)\n    (3): ReLU()\n  )\n  (combined_features): Sequential(\n    (0): Linear(in_features=33, out_features=16, bias=True)\n    (1): ReLU()\n    (2): Linear(in_features=16, out_features=4, bias=True)\n    (3): Softmax(dim=-1)\n  )\n)", "optimizer": "Adam (\nParameter Group 0\n    amsgrad: False\n    betas: (0.9, 0.999)\n    capturable: False\n    differentiable: False\n    eps: 1e-08\n    foreach: None\n    fused: None\n    lr: 0.001\n    maximize: False\n    weight_decay: 0\n)", "k": null}], "program": "nn(perc_net_version_5_baseline_0,[Img, MNIST, Speed, Player_y, Intersection_y],X,[0, 1, 2, 3])::action(Img,MNIST,Speed,Player_y,Intersection_y,X).\nautonomous_driving_baseline(Img,MNIST,Speed,Player_y,Intersection_y,X) :- action(Img,MNIST,Speed,Player_y,Intersection_y,X).\n"}
#Accuracy 0.7481893212059963
i,time,loss,ground_time,compile_time,eval_time
10,0.14544892311096191,2.121110858861357,0.00045976638793945315,0.00010678768157958984,0.0001928091049194336
20,0.2990121841430664,1.646387267112732,0.0005007386207580566,0.00011428594589233399,0.00020819902420043945
30,0.4484989643096924,1.9552106209099294,0.0004988312721252441,0.00012114048004150391,0.00020183324813842772
40,0.6024880409240723,1.181619292497635,0.0005187869071960449,0.00012526512145996093,0.0001993417739868164
50,0.7500019073486328,1.2220687940716743,0.00046964883804321287,0.00010662078857421875,0.00019835233688354493
60,0.904865026473999,1.168198536336422,0.0004907846450805664,0.00011069774627685547,0.00020406246185302734
70,1.0569260120391846,1.213157008588314,0.0004956483840942383,0.00012279748916625975,0.00019426345825195311
80,1.2088408470153809,1.5874985992908477,0.0004947423934936523,0.0001214146614074707,0.00019494295120239257
90,1.3601479530334473,1.1301228031516075,0.0005150437355041504,0.00012067556381225585,0.00020765066146850587
100,1.512052059173584,1.3533943012356757,0.0004986763000488281,0.0001260519027709961,0.00020426511764526367
110,1.665605068206787,1.3670954935252666,0.0005043387413024902,0.00011273622512817383,0.0002057194709777832
120,1.8217778205871582,1.4022260785102845,0.0005028247833251953,0.00011835098266601562,0.00021021366119384767
130,1.9748680591583252,1.3913937702775,0.0004944920539855957,0.00011769533157348632,0.00020148754119873047
140,2.129309892654419,1.2659270644187928,0.0005141854286193848,0.00011553764343261719,0.00019974708557128905
150,2.280802011489868,1.3074218045920134,0.0004714012145996094,0.00010998249053955078,0.00019712448120117186
160,2.4339451789855957,1.4167226493358611,0.0005226492881774903,0.00012416839599609374,0.00020631551742553711
170,2.5843100547790527,1.4101986348628999,0.000488734245300293,0.00011718273162841797,0.00019780397415161132
180,2.7358720302581787,1.3555498540401458,0.0005006194114685059,0.00010966062545776367,0.00019619464874267578
190,2.8869287967681885,1.4618010640144348,0.0005135655403137207,0.00012344121932983398,0.00019843578338623046
200,3.0415291786193848,1.422009614109993,0.0005644798278808594,0.00012531280517578126,0.00020253658294677734
210,3.197477102279663,1.2442678019404412,0.0005079984664916992,0.00011930465698242187,0.00020340681076049804
220,3.3487579822540283,1.3753588065505027,0.0005278944969177246,0.0001222848892211914,0.00019577741622924804
230,3.502631902694702,1.4177825927734375,0.0005668401718139648,0.000129544734954834,0.00020257234573364257
240,3.655071973800659,1.3654372587800025,0.0005126237869262695,0.00012452602386474608,0.00019948482513427735
250,3.8094000816345215,1.3070422410964966,0.000506889820098877,0.00011739730834960937,0.00019894838333129884
260,3.958177089691162,1.3086558908224106,0.0005319714546203613,0.0001225709915161133,0.000198519229888916
270,4.110440969467163,1.2534104578197003,0.0005158662796020507,0.00012428760528564452,0.00020465850830078124
280,4.2601399421691895,1.4035787753760816,0.0005373001098632812,0.0001344442367553711,0.0001986384391784668
290,4.470405101776123,1.4162187039852143,0.0033721923828125,0.00012366771697998048,0.00019687414169311523
300,4.618988990783691,1.3092882752418518,0.0005007863044738769,0.00012099742889404297,0.00020008087158203126
310,4.77306604385376,1.2903592377901076,0.0005226373672485351,0.0001290440559387207,0.00020985603332519532
320,4.923145055770874,1.3885339379310608,0.0005241274833679199,0.00012652873992919923,0.0002068161964416504
330,5.0760109424591064,1.3349570468068124,0.0004931926727294922,0.00011923313140869141,0.00020799636840820312
340,5.224540948867798,1.3116802923381328,0.0005517721176147461,0.00011944770812988281,0.0001995563507080078
350,5.375586986541748,1.4531708672642707,0.0005298256874084473,0.0001267671585083008,0.00019708871841430664
360,5.525043964385986,1.778564140200615,0.0005117535591125488,0.00012364387512207032,0.0001979231834411621
