#{"solver": {"engine": {"type": "ExactEngine"}, "semiring": "GraphSemiring"}, "networks": [{"name": "perc_net_version_1_NeSy_x", "module": "AD_V1_NeSy_1_net_x(\n  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))\n  (pool): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))\n  (fc1): Linear(in_features=400, out_features=120, bias=True)\n  (fc2): Linear(in_features=120, out_features=84, bias=True)\n  (fc3): Linear(in_features=84, out_features=4, bias=True)\n  (softmax): Softmax(dim=-1)\n)", "optimizer": "Adam (\nParameter Group 0\n    amsgrad: False\n    betas: (0.9, 0.999)\n    capturable: False\n    differentiable: False\n    eps: 1e-08\n    foreach: None\n    fused: None\n    lr: 0.001\n    maximize: False\n    weight_decay: 0\n)", "k": null}, {"name": "perc_net_version_1_NeSy_y", "module": "AD_V1_NeSy_1_net_y(\n  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))\n  (pool): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)\n  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))\n  (fc1): Linear(in_features=400, out_features=120, bias=True)\n  (fc2): Linear(in_features=120, out_features=84, bias=True)\n  (fc3): Linear(in_features=84, out_features=3, bias=True)\n  (softmax): Softmax(dim=-1)\n)", "optimizer": "Adam (\nParameter Group 0\n    amsgrad: False\n    betas: (0.9, 0.999)\n    capturable: False\n    differentiable: False\n    eps: 1e-08\n    foreach: None\n    fused: None\n    lr: 0.001\n    maximize: False\n    weight_decay: 0\n)", "k": null}], "program": "nn(perc_net_version_1_NeSy_x,[Img],X,[0, 1, 2, 3])::cell_x(Img,X).\nnn(perc_net_version_1_NeSy_y,[Img],Y,[0, 1, 2])::cell_y(Img,Y).\nattention_boundary(X,Y) :- X==1, Y=0.\nenlarged_boundary(X,Y) :- X==1, Y=1.\nenlarged_boundary(X,Y) :- X==2, Y=0.\nenlarged_boundary(X,Y) :- X==2, Y=1.\nout_of_view(X,Y) :- X==0; X==3; Y==2.\naction(Img,1) :- cell_x(Img,X1), cell_y(Img,Y1), attention_boundary(X1,Y1).\naction(Img,2) :- cell_x(Img,X2), cell_y(Img,Y2), enlarged_boundary(X2,Y2), \\+action(Img,1).\naction(Img,0) :- cell_x(Img,X3), cell_y(Img,Y3), out_of_view(X3,Y3), \\+action(Img,2), \\+action(Img,1).\n"}
#Accuracy 0.9738562091503268
i,time,loss,ground_time,compile_time,eval_time,accuracy
5,0.06928491592407227,1.1700359374284743,0.004175853729248047,0.001079559326171875,0.0010921239852905273,0.3562091503267974
10,1.943572998046875,1.4349036931991577,0.023630738258361816,0.0011280059814453125,0.0012376070022583007,0.3562091503267974
15,3.7267110347747803,1.2820981919765473,0.004629611968994141,0.0012291431427001952,0.0011791706085205079,0.3562091503267974
20,5.5200676918029785,1.2056129813194274,0.023630738258361816,0.0011280059814453125,0.001265883445739746,0.31862745098039214
25,7.307054758071899,1.2180456399917603,0.027938365936279297,0.0010124921798706054,0.001196002960205078,0.31862745098039214
30,9.100879907608032,1.1590423941612245,0.019913315773010254,0.001363825798034668,0.0013167619705200194,0.31862745098039214
35,10.894057989120483,1.0773383736610413,0.019323110580444336,0.0012435197830200195,0.0012523174285888673,0.31862745098039214
40,12.686034917831421,1.1064405143260956,0.03165578842163086,0.00077667236328125,0.0011205196380615235,0.4624183006535948
45,14.478986024856567,1.1064550399780273,0.032836198806762695,0.001017284393310547,0.0012475013732910155,0.5065359477124183
50,16.277177810668945,1.0429578363895415,0.019323110580444336,0.0012435197830200195,0.0012469768524169921,0.5473856209150327
55,18.071491718292236,0.9456934332847595,0.008937239646911621,0.0011136293411254882,0.0011624336242675782,0.5473856209150327
60,19.85316300392151,1.027239090204239,0.015605688095092773,0.001479339599609375,0.0013169050216674805,0.5555555555555556
65,21.646465063095093,0.8654171645641326,0.018732905387878418,0.0011232137680053712,0.001197981834411621,0.6323529411764706
70,23.435619831085205,0.8874370753765106,0.019323110580444336,0.0012435197830200195,0.0012550115585327148,0.6470588235294118
75,25.222473859786987,0.8867755442857742,0.027938365936279297,0.0010124921798706054,0.0011916875839233399,0.7287581699346405
80,27.015087842941284,0.5758779600262642,0.014425277709960938,0.0012387275695800782,0.0012317419052124024,0.7924836601307189
85,28.80746078491211,0.1787824895232916,0.004629611968994141,0.0012291431427001952,0.001172637939453125,0.6928104575163399
90,30.59349298477173,0.44978062305599453,0.01383507251739502,0.0011184215545654297,0.0011786699295043945,0.6388888888888888
95,32.42068409919739,0.628684457577765,0.019323110580444336,0.0012435197830200195,0.0012386798858642577,0.7467320261437909
100,34.196218729019165,0.8653037138283253,0.023630738258361816,0.0011280059814453125,0.001220393180847168,0.6094771241830066
105,35.97062397003174,0.7201121900230646,0.02734816074371338,0.000892186164855957,0.0011475324630737306,0.673202614379085
110,37.743385791778564,0.5787081480026245,0.015015482902526855,0.0013590335845947265,0.001252460479736328,0.7532679738562091
115,39.52397584915161,0.7317382395267487,0.01383507251739502,0.0011184215545654297,0.0012115001678466796,0.8137254901960784
120,41.30760192871094,0.4654687076807022,0.024220943450927734,0.001248311996459961,0.0012756824493408204,0.8333333333333334
125,43.07556772232056,0.4830701917409897,0.024811148643493652,0.0013686180114746093,0.0013129472732543944,0.8120915032679739
130,44.8538339138031,0.2912307340884581,0.019913315773010254,0.001363825798034668,0.0013144254684448243,0.704248366013072
135,46.6216037273407,0.6869012197566917,0.01383507251739502,0.0011184215545654297,0.0011293888092041016,0.7843137254901961
140,48.38208794593811,0.4989976383978501,0.018732905387878418,0.0011232137680053712,0.0011780261993408203,0.6584967320261438
145,50.13919472694397,0.9118041709414684,0.028528571128845215,0.001132798194885254,0.0012267112731933593,0.7336601307189542
150,51.925612926483154,0.45791840062011036,0.018732905387878418,0.0011232137680053712,0.0011843204498291015,0.8104575163398693
155,53.71345400810242,0.3987274594604969,0.03224599361419678,0.0008969783782958984,0.001158595085144043,0.8562091503267973
160,55.5669379234314,0.6594266179949045,0.023630738258361816,0.0011280059814453125,0.0012600183486938476,0.7990196078431373
165,57.376566886901855,0.34549364713020625,0.023630738258361816,0.0011280059814453125,0.0012690305709838867,0.7843137254901961
170,59.219934940338135,0.480969069339335,0.0058100223541259766,0.0014697551727294923,0.001268625259399414,0.8725490196078431
175,60.999013900756836,0.48997703078202903,0.03342640399932861,0.0011375904083251952,0.001234722137451172,0.8709150326797386
180,62.778197050094604,0.3847940576961264,0.03224599361419678,0.0008969783782958984,0.0011633634567260742,0.8741830065359477
185,64.51067996025085,0.3568109468440525,0.015015482902526855,0.0013590335845947265,0.0012077808380126954,0.8790849673202614
190,66.17141199111938,0.5881523484364152,0.015015482902526855,0.0013590335845947265,0.0011525869369506836,0.8905228758169934
195,67.82733798027039,0.1222036113293143,0.029118776321411133,0.0012531042098999023,0.0011680126190185547,0.8954248366013072
200,69.41893196105957,0.19334340346977114,0.023630738258361816,0.0011280059814453125,0.0011091232299804688,0.8954248366013072
205,70.96940803527832,0.5021269902628319,0.028528571128845215,0.001132798194885254,0.0010770559310913086,0.8594771241830066
210,72.51971411705017,0.1350918969313625,0.020503520965576172,0.0014841318130493163,0.0011090993881225585,0.8937908496732027
215,74.06963777542114,0.3874824030309355,0.024220943450927734,0.001248311996459961,0.0010505914688110352,0.8888888888888888
220,75.62346076965332,0.310698849026312,0.019323110580444336,0.0012435197830200195,0.0010557174682617188,0.8529411764705882
